"District","State","fuel_pumps","min_price","max_price","modal_price","mean_price"
"ADILABAD","Telangana",21,111.32,112.31,112.11,111.9
"AGAR  MALWA","Madhya Pradesh",17,109.43,110.08,109.7,109.71
"AGRA","Uttar Pradesh",120,96.1,96.8,96.35,96.41
"AHMADNAGAR","Maharashtra",145,105.96,107.23,105.96,106.47
"AHMEDABAD","Gujarat",149,96.22,97.26,96.42,96.52
"AIZAWL","Mizoram",18,95.5,96.53,95.9,95.88
"AJMER","Rajasthan",110,108.07,109.1,108.07,108.45
"AKOLA","Maharashtra",43,106.14,106.73,106.14,106.32
"ALAPPUZHA","Kerala",61,105.61,106.72,106.56,106.29
"ALIGARH","Uttar Pradesh",70,96.25,97.04,96.7,96.75
"ALIPURDUAR","West Bengal",20,106.56,107.63,107.26,107.07
"ALIRAJPUR","Madhya Pradesh",9,110.14,110.78,110.27,110.38
"ALLAHABAD","Uttar Pradesh",130,96.52,97.73,96.66,97.17
"ALMORA","Uttarakhand",6,95.35,95.66,95.66,95.59
"ALWAR","Rajasthan",83,108.39,109.99,109.12,109.19
"AMBALA","Haryana",56,97.21,97.7,97.52,97.48
"AMBEDKARNAGAR","Uttar Pradesh",53,97.78,98.72,98.55,98.33
"AMETHI/CSM NAGAR","Uttar Pradesh",94,96.95,97.85,97.55,97.38
"AMRAVATI","Maharashtra",46,106.48,108.09,107.14,107.32
"AMRELI","Gujarat",42,96.87,98.14,97.95,97.51
"AMRITSAR","Punjab",152,96.26,97.22,96.89,96.76
"AMROHA","Uttar Pradesh",57,96.74,97.46,97.1,97.07
"ANAND","Gujarat",45,96.09,96.81,96.59,96.39
"ANANTAPUR","Andhra Pradesh",170,110.87,112.81,111.66,111.82
"ANANTNAG","Jammu & Kashmir",24,100.12,101.33,100.56,100.59
"ANGUL","Odisha",44,103.76,105.36,104.61,104.66
"ANJAW","Arunachal Pradesh",2,97.02,97.4,97.4,97.21
"ANUPUR","Madhya Pradesh",12,110.82,111.9,111.42,111.51
"ARARIA","Bihar",53,108.81,109.66,109.15,109.19
"ARAVALLI","Gujarat",42,96.81,97.7,97.35,97.32
"ARIYALUR","Tamil Nadu",16,103.45,104.01,103.63,103.73
"ARWAL","Bihar",14,107.81,108.25,107.81,107.95
"ASHOKNAGAR","Madhya Pradesh",39,108.29,109.29,109.01,108.84
"AURAIYA","Uttar Pradesh",35,96.91,97.26,96.96,97.11
"AURANGABAD","Bihar",56,108.01,109.03,109.03,108.63
"AURANGABAD","Maharashtra",98,106.26,108.07,108,107.29
"AZAMGARH","Uttar Pradesh",107,96.91,97.93,97.37,97.43
"BADGAM","Jammu & Kashmir",11,101.15,101.36,101.26,101.23
"BADWANI","Madhya Pradesh",47,109.63,110.88,110.06,110.22
"BAGALKOT","Karnataka",120,102.01,102.94,102.5,102.51
"BAGESHWAR","Uttarakhand",1,95.99,95.99,95.99,95.99
"BAGHPAT","Uttar Pradesh",20,96.35,96.72,96.52,96.53
"BAHRAICH","Uttar Pradesh",49,96.74,98.06,97.11,97.19
"BAKSA","Assam",7,97.32,97.78,97.57,97.56
"BALAGHAT","Madhya Pradesh",23,110.2,111.67,110.88,111.02
"BALESHWAR","Odisha",55,103.18,103.95,103.18,103.43
"BALLIA","Uttar Pradesh",77,97.22,98.08,97.31,97.6
"BALOD","Chhatisgarh",20,102.98,103.7,103.08,103.25
"BALODABAZAR","Chhatisgarh",44,102.68,103.8,103.07,103.07
"BALRAMPUR","Chhatisgarh",10,103.71,104.79,103.9,104.31
"BALRAMPUR","Uttar Pradesh",31,96.68,97.15,96.84,96.91
"BANAS KANTHA","Gujarat",91,96.22,97.5,96.4,96.81
"BANDA","Uttar Pradesh",34,97.15,98.08,97.76,97.68
"BANDIPORA","Jammu & Kashmir",7,101.41,101.7,101.7,101.56
"BANGALORE","Karnataka",258,101.58,102.04,101.94,101.94
"BANGALORE RURAL","Karnataka",72,101.57,102.25,101.58,101.89
"BANKA","Bihar",24,108.32,108.94,108.72,108.58
"BANKURA","West Bengal",48,105.95,106.96,106.28,106.46
"BANSWARA","Rajasthan",52,109.65,110.72,110.04,110.15
"BARABANKI","Uttar Pradesh",76,96.51,97.19,96.81,96.81
"BARAMULLAH","Jammu & Kashmir",13,101.36,101.96,101.61,101.61
"BARAN","Rajasthan",37,108.3,109.69,108.55,108.87
"BAREILLY","Uttar Pradesh",113,96.26,97.2,96.56,96.7
"BARGARH","Odisha",48,103.85,105.47,104.35,104.49
"BARMER","Rajasthan",83,108.59,111.2,110.22,109.84
"BARNALA","Punjab",51,96.04,96.6,96.27,96.35
"BARPETA","Assam",25,97.32,97.77,97.63,97.54
"BASTAR","Chhatisgarh",14,105.12,105.45,105.29,105.31
"BASTI","Uttar Pradesh",83,97.08,97.92,97.24,97.43
"BATHINDA","Punjab",129,95.99,96.56,96.1,96.18
"BEGUSARAI","Bihar",54,106.95,107.29,106.98,107.05
"BELGAUM","Karnataka",218,101.76,103.04,101.76,102.34
"BELLARY","Karnataka",88,102.89,104.29,103.9,103.51
"BEMETARA","Chhatisgarh",25,102.45,103.29,102.91,103
"BETUL","Madhya Pradesh",46,108.6,110.14,109.57,109.46
"BHADOHI","Uttar Pradesh",42,96.92,97.4,97.28,97.19
"BHADRADRI KOTHAGUDEM","Telangana",23,110.19,111.22,110.65,110.73
"BHADRAK","Odisha",19,103.61,104.22,103.73,103.86
"BHAGALPUR","Bihar",46,107.82,108.7,108.28,108.29
"BHANDARA","Maharashtra",20,106.6,107.19,106.69,106.93
"BHARATPUR","Rajasthan",81,107.95,108.68,108.08,108.28
"BHARUCH","Gujarat",64,96.48,97.39,96.6,96.86
"BHAVNAGAR","Gujarat",65,97.44,98.83,98.1,98.15
"BHILWARA","Rajasthan",109,108.4,109.54,108.71,108.89
"BHIND","Madhya Pradesh",54,108.45,110.04,109.12,109.11
"BHIWANI","Haryana",93,96.72,98.1,97.49,97.65
"BHOJPUR","Bihar",45,107.84,108.32,107.89,108.05
"BHOPAL","Madhya Pradesh",68,108.29,108.92,108.65,108.59
"BID","Maharashtra",57,106.28,108.11,107.28,107.44
"BIDAR","Karnataka",69,102.23,103.27,102.83,102.66
"BIJAPUR","Chhatisgarh",3,106.85,106.85,106.85,106.85
"BIJAPUR","Karnataka",109,101.72,102.57,101.72,102.02
"BIJNOR","Uttar Pradesh",85,96.25,96.86,96.25,96.53
"BIKANER","Rajasthan",109,110.02,112.53,111.08,111.14
"BILASPUR","Chhatisgarh",67,102.55,103.83,103.16,103.17
"BILASPUR","Himachal Pradesh",19,95.06,96.12,96.12,95.77
"BIRBHUM","West Bengal",80,105.99,107.05,106.64,106.62
"BISHNUPUR","Manipur",9,101.19,101.49,101.29,101.3
"BOKARO","Jharkhand",60,99.92,100.76,100.21,100.2
"BOLANGIR","Odisha",34,104.74,105.97,105.02,105.34
"BONGAIGAON","Assam",26,96.98,97.31,96.98,97.09
"BOTAD","Gujarat",21,97.26,98.08,97.64,97.67
"BOUDH","Odisha",9,104.74,106.04,105.46,105.39
"BUDAUN","Uttar Pradesh",62,96.26,96.94,96.48,96.54
"BULANDSHAHR","Uttar Pradesh",66,97,97.64,97.3,97.24
"BULDHANA","Maharashtra",60,106.33,108.19,106.96,107.08
"BUNDI","Rajasthan",45,107.96,108.88,108.22,108.4
"BURHANPUR","Madhya Pradesh",15,110.35,110.82,110.42,110.51
"BUXAR","Bihar",26,108.26,108.81,108.55,108.59
"Biswanath","Assam",11,97.6,98.29,98.29,98.01
"CACHAR","Assam",37,97.57,97.75,97.57,97.61
"CHAMBA","Himachal Pradesh",12,96.07,97.51,96.43,96.69
"CHAMOLI","Uttarakhand",10,96.44,100.56,97.97,97.83
"CHAMPAWAT","Uttarakhand",6,95.25,96.66,95.25,95.85
"CHAMPHAI","Mizoram",2,97.59,97.59,97.59,97.59
"CHAMRAJNAGAR","Karnataka",32,101.86,102.79,102.07,102.18
"CHANDAULI","Uttar Pradesh",50,96.53,96.88,96.53,96.62
"CHANDEL","Manipur",1,101.71,101.71,101.71,101.71
"CHANDIGARH","Chandigarh",25,96.2,96.2,96.2,96.2
"CHANDRAPUR","Maharashtra",48,106.1,107.31,106.12,106.54
"CHANGLANG","Arunachal Pradesh",9,95.7,96.05,95.89,95.9
"CHARKI DADRI","Haryana",47,96.98,97.42,97.28,97.22
"CHATRA","Jharkhand",18,100.79,101.71,101.22,101.35
"CHENGALPATTU","Tamil Nadu",84,102.77,103.75,102.82,103.19
"CHENNAI","Tamil Nadu",117,102.63,102.82,102.63,102.66
"CHHATARPUR","Madhya Pradesh",34,109,111.09,109.98,110.12
"CHHINDWARE","Madhya Pradesh",49,109.26,111.06,110.66,110.51
"CHHOTAUDEPUR","Gujarat",13,96.41,97.16,96.66,96.77
"CHIKKABALLAPURA","Karnataka",48,101.69,102.67,101.94,102.1
"CHIKMAGALUR","Karnataka",43,102.33,104.4,103.77,103.41
"CHIRANG","Assam",11,96.98,96.98,96.98,96.98
"CHITRADURGA","Karnataka",53,102.82,104.71,103.85,103.73
"CHITRAKUT","Uttar Pradesh",23,97.19,97.8,97.53,97.47
"CHITTAURGARH","Rajasthan",69,108.1,109.03,108.35,108.4
"CHITTOOR","Andhra Pradesh",133,111.16,114.35,111.96,112.33
"CHUMOUKEDIMA","Nagaland",1,98.28,98.28,98.28,98.28
